State2,gini_st1,gdppc,div_st,inits_st,gov_st,sen_st,sw_mar
1,47.4,36.463,48,0,0,0,22.19
2,41,70.594,57,0,0,0,13.99
3,46,38.882,60,2,0,1,3.9
4,46.8,38.056,42,3,0,0,23.69
5,48.1,51.935,73,10,0,1,23.09
6,45.9,50.01,48,2,0,0,5.36
7,48.6,63.99,47,0,0,1,12
8,44,62.534,53,0,1,1,18.63
9,48.1,37.636,59,0,0,1,.88
10,47.7,41.866,59,0,0,0,7.8
11,43,49.096,81,0,0,1,25.2
12,43.2,34.589,29,0,0,0,31.69
13,47.2,51.023,55,0,0,0,16.84
14,44.6,43.149,33,0,1,1,3.2
15,43.4,46.591,22,0,0,0,5.81
16,44.4,45.026,38,0,0,0,21.61
17,47.1,38.17,25,0,0,0,22.68
18,48.4,46.932,53,0,0,0,17.21
19,45.1,37.941,11,1,0,1,15.29
20,44.7,54.497,61,0,0,1,26.08
21,47.7,61.288,41,3,0,1,7.4
22,46.1,39.912,39,5,0,1,9.47
23,44.4,51.552,31,0,0,1,7.69
24,47.4,30.988,53,0,0,1,11.5
25,46.1,42.128,33,2,1,1,9.36
26,43.5,37.867,23,1,1,1,1.7
27,44.7,50.627,32,0,0,1,16.4
28,45.3,44.197,65,0,0,1,1.2
29,43.5,47.71,15,0,1,0,5.58
30,46.9,55.537,60,0,0,1,17.74
31,48.2,39.494,67,0,0,1,5.6
32,50.3,61.399,62,0,0,0,28.18
33,47.2,43.486,52,0,1,0,2.04
34,44.5,55.109,21,3,1,1,1
35,45.9,43.439,33,1,0,1,2.97
36,46.1,40.459,51,0,0,0,33.54
37,45.9,51.143,38,7,0,0,12.09
38,46.1,46.503,36,0,0,1,5.38
39,46.7,46.304,41,0,0,1,27.46
40,46.5,35.885,51,0,0,0,10.47
41,43.2,48.33,28,1,0,0,18.02
42,47.6,40.468,40,0,0,1,20.38
43,47.7,48.846,66,0,0,1,15.77
44,42.5,42.714,35,0,1,1,35
45,43.1,42.969,11,0,1,1,20.3
46,46.3,51.923,53,0,0,1,3.87
47,44.5,52.595,46,3,1,1,2.4
48,47.2,35.656,13,0,1,1,4.8
49,43.7,45.036,30,0,0,1,5.6
50,40.8,66.628,27,0,0,1,40.82
